,best,max_depth,max_feat,mean,time,variance,worst
0,00.931495909999,2,4,00.951537138651,0.672456026077,0.000125260758997,00.967471433309
1,00.897152982574,3,4,00.910078377021,0.712686061859,0.000156379177027,00.934652588392
2,00.857851644089,4,4,00.878445248029,0.752617835999,0.000259576861487,00.909420628432
3,00.832014022622,5,4,00.869453802527,0.778037071228,0.000805348750853,00.938352706481
4,00.826107726804,6,4,00.867869276397,0.819685935974,0.000567452081339,00.904673215223
5,00.864418792436,7,4,00.949545831509,0.855396986008,0.00266116420913,001.04978401442
6,00.982957243866,8,4,001.09757945671,0.902563810349,0.00385140653887,001.19428584818
7,0001.2555090408,9,4,001.34647197362,0.941699981689,0.0028748153573,001.41299205352
8,001.57737610052,10,4,001.73835056676,0.978780984879,0.00882486389898,001.94511008679
